Station,Alfotbreen,,
Latitude,61.75,,
Longitude,5.65,,
Elevation,1180,,
,,,
Time,Bw,Bs,Ba
01-01-1963,2.52,-3.21,-0.7
01-01-1964,2.66,-2.38,0.28
01-01-1965,3.75,-3.07,0.68
01-01-1966,2.4,-3.93,-1.53
01-01-1967,4.43,-3.12,1.3
01-01-1968,4.65,-3.64,1.01
01-01-1969,2.58,-4.92,-2.34
01-01-1970,2.65,-3.78,-1.13
01-01-1971,4.14,-3.31,0.83
01-01-1972,3.78,-3.74,0.04
01-01-1973,4.57,-2.56,2.01
01-01-1974,3.49,-2.63,0.85
01-01-1975,4.32,-3.5,0.82
01-01-1976,4.37,-3.06,1.31
01-01-1977,2.31,-2.94,-0.63
01-01-1978,2.46,-3.08,-0.62
01-01-1979,3.2,-3.36,-0.15
01-01-1980,2.48,-3.21,-0.73
01-01-1981,4.04,-3.81,0.24
01-01-1982,3.3,-3.31,-0.01
01-01-1983,4.61,-3.23,1.38
01-01-1984,4.22,-2.85,1.38
01-01-1985,2.48,-2.98,-0.5
01-01-1986,2.34,-2.95,-0.61
01-01-1987,4.45,-2.38,2.07
01-01-1988,2.69,-5.18,-2.5
01-01-1989,5.29,-2.95,2.34
01-01-1990,5.96,-4.19,1.76
01-01-1991,3.44,-2.87,0.57
01-01-1992,5.48,-3.08,2.39
01-01-1993,4.69,-2.82,1.87
01-01-1994,3.72,-2.92,0.8
01-01-1995,5.14,-3.91,1.23
01-01-1996,1.87,-3.82,-1.94
01-01-1997,4.09,-4.25,-0.16
01-01-1998,3.37,-3.81,-0.45
01-01-1999,4.34,-4.67,-0.34
01-01-2000,4.92,-3.75,1.17
01-01-2001,1.77,-4.26,-2.49
01-01-2002,3.51,-5.55,-2.04
01-01-2003,2.27,-5.26,-3
01-01-2004,3.11,-3.56,-0.45
01-01-2005,4.76,-4.4,0.35
01-01-2006,2.52,-6.14,-3.62
01-01-2007,4.25,-3.35,0.9
01-01-2008,4.34,-3.98,0.36
01-01-2009,3.62,-4.17,-0.55
01-01-2010,2.04,-4.3,-2.26
01-01-2011,3.53,-4.38,-0.84
01-01-2012,3.87,-2.51,1.36
01-01-2013,3.15,-4.06,-0.9
01-01-2014,3.64,-5.29,-1.65
01-01-2015,4.22,-2.74,1.47
01-01-2016,4.19,-4.7,-0.51
01-01-2017,3.26,-3.93,-0.66
01-01-2018,2.88,-4.82,-1.94
01-01-2019,2.46,-4.78,-2.32
01-01-2020,4.99,-3.99,1
01-01-2021,3.16,-4.87,-1.71
01-01-2022,3.38,-3.94,-0.56
