Station,Austdalsbreen,,
Latitude,61.75,,
Longitude,7.33,,
Elevation,1470,,
,,,
Time,Bw,Bs,Ba
01-01-1988,1.95,-3.38,-1.43
01-01-1989,3.19,-1.6,1.59
01-01-1990,3.66,-2.72,0.94
01-01-1991,1.66,-1.65,0
01-01-1992,2.8,-2.26,0.54
01-01-1993,2.6,-1.78,0.82
01-01-1994,1.8,-1.87,-0.07
01-01-1995,2.72,-2.1,0.62
01-01-1996,1.2,-2.29,-1.09
01-01-1997,2.67,-3.22,-0.55
01-01-1998,2.2,-2.05,0.15
01-01-1999,2.1,-2.56,-0.46
01-01-2000,3.02,-1.96,1.09
01-01-2001,1.23,-2.75,-1.52
01-01-2002,2.11,-4.09,-1.99
01-01-2003,1.6,-4.06,-2.45
01-01-2004,1.61,-2.56,-0.95
01-01-2005,2.84,-2.77,0.08
01-01-2006,1.33,-3.36,-2.03
01-01-2007,2.48,-2.28,0.2
01-01-2008,2.39,-2.49,-0.1
01-01-2009,1.91,-2.65,-0.74
01-01-2010,1.02,-3.05,-2.03
01-01-2011,1.82,-3.26,-1.44
01-01-2012,2.68,-1.91,0.77
01-01-2013,1.61,-3.24,-1.63
01-01-2014,2.14,-3.5,-1.36
01-01-2015,2.53,-1.81,0.72
01-01-2016,2.01,-3.06,-1.05
01-01-2017,2.43,-2.24,0.19
01-01-2018,1.93,-3.46,-1.53
01-01-2019,1.59,-2.8,-1.21
01-01-2020,2.91,-2.11,0.8
01-01-2021,1.58,-3.36,-1.78
01-01-2022,2.2,-2.24,-0.04
