Station,Engabreen,,
Latitude,66.65,,
Longitude,13.85,,
Elevation,850,,
,,,
Time,Bw,Bs,Ba
01-01-1970,1.77,-3.04,-1.27
01-01-1971,2.95,-2.21,0.74
01-01-1972,2.94,-3.52,-0.57
01-01-1973,3.84,-1.91,1.93
01-01-1974,3.12,-2.66,0.45
01-01-1975,2.67,-1.68,0.99
01-01-1976,3.4,-1.6,1.8
01-01-1977,1.91,-1.58,0.33
01-01-1978,1.92,-3.18,-1.26
01-01-1979,3.12,-3.31,-0.2
01-01-1980,2.41,-3.34,-0.93
01-01-1981,2.54,-2.51,0.04
01-01-1982,2.04,-1.62,0.41
01-01-1983,1.98,-1.53,0.45
01-01-1984,3.55,-2.75,0.8
01-01-1985,1.24,-2.86,-1.62
01-01-1986,2.5,-2.72,-0.22
01-01-1987,2.32,-1.88,0.44
01-01-1988,2.06,-3.79,-1.74
01-01-1989,4.11,-1.97,2.14
01-01-1990,3.2,-2.91,0.28
01-01-1991,2.42,-2.12,0.3
01-01-1992,3.78,-2.44,1.34
01-01-1993,2.84,-2.14,0.69
01-01-1994,1.6,-1.64,-0.04
01-01-1995,3.17,-1.95,1.22
01-01-1996,2.78,-2.48,0.3
01-01-1997,4.15,-3.64,0.51
01-01-1998,2.66,-3.03,-0.37
01-01-1999,1.88,-2.49,-0.61
01-01-2000,2.49,-1.88,0.61
01-01-2001,1.38,-2.98,-1.59
01-01-2002,2.66,-3.69,-1.02
01-01-2003,2.19,-3.28,-1.09
01-01-2004,2.65,-2.46,0.18
01-01-2005,3.03,-2.55,0.48
01-01-2006,1.57,-3.41,-1.84
01-01-2007,3.14,-2.47,0.68
01-01-2008,2.58,-2.71,-0.14
01-01-2009,2.88,-2.95,-0.07
01-01-2010,2,-2.75,-0.75
01-01-2011,2.84,-3.81,-0.97
01-01-2012,3.16,-2.09,1.07
01-01-2013,2.3,-4.12,-1.82
01-01-2014,2.59,-3.48,-0.89
01-01-2015,3.27,-2.61,0.65
01-01-2016,2.66,-2.88,-0.23
01-01-2017,3.67,-2.42,1.25
01-01-2018,1.75,-3.38,-1.63
01-01-2019,3.45,-2.66,0.79
01-01-2020,3.72,-2.55,1.17
01-01-2021,2.88,-3.38,-0.5
01-01-2022,3.46,-3.31,0.14
