Station,Grafjellsbrea,,
Latitude,60.1,,
Longitude,6.38,,
Elevation,1320,,
,,,
Time,Bw,Bs,Ba
01-01-1964,1.93,-1.62,0.31
01-01-1965,1.95,-2.32,-0.37
01-01-1966,1.54,-2.88,-1.34
01-01-1967,3,-1.7,1.3
01-01-1968,3.46,-2.84,0.62
01-01-1974,2.17,-1.55,0.62
01-01-1975,2.57,-2.28,0.28
01-01-2003,1.91,-4.09,-2.18
01-01-2004,2.05,-2.82,-0.76
01-01-2005,3.15,-3.13,0.02
01-01-2006,1.4,-4.55,-3.15
01-01-2007,3.6,-2.85,0.75
01-01-2008,2.66,-2.8,-0.14
01-01-2009,2.34,-2.88,-0.54
01-01-2010,1.51,-3.35,-1.84
01-01-2011,1.89,-4.09,-2.2
01-01-2012,2.94,-1.73,1.21
01-01-2013,0,0,-1.15
