Station,Grasubreen,,
Latitude,61.65,,
Longitude,8.62,,
Elevation,2065,,
,,,
Time,Bw,Bs,Ba
01-01-1962,0.86,-0.09,0.77
01-01-1963,0.4,-1.11,-0.71
01-01-1964,0.36,-0.71,-0.35
01-01-1965,0.76,-0.36,0.41
01-01-1966,0.72,-1.01,-0.28
01-01-1967,1.45,-0.74,0.71
01-01-1968,1.03,-1.11,-0.08
01-01-1969,0.7,-2.05,-1.36
01-01-1970,0.57,-1.24,-0.66
01-01-1971,0.5,-0.97,-0.47
01-01-1972,0.66,-1.3,-0.64
01-01-1973,0.72,-1.61,-0.89
01-01-1974,0.59,-0.24,0.34
01-01-1975,0.91,-1.86,-0.95
01-01-1976,0.62,-1.62,-1
01-01-1977,0.51,-0.9,-0.39
01-01-1978,0.67,-0.89,-0.22
01-01-1979,0.91,-0.87,0.04
01-01-1980,0.43,-1.32,-0.89
01-01-1981,0.6,-0.79,-0.19
01-01-1982,0.5,-1.01,-0.51
01-01-1983,0.92,-0.98,-0.05
01-01-1984,0.98,-1.35,-0.37
01-01-1985,0.76,-0.76,0
01-01-1986,0.42,-1.18,-0.76
01-01-1987,0.95,-0.24,0.71
01-01-1988,1.08,-1.68,-0.6
01-01-1989,1.12,-0.67,0.45
01-01-1990,1.32,-0.61,0.72
01-01-1991,0.67,-1.2,-0.53
01-01-1992,0.7,-0.78,-0.08
01-01-1993,0.93,-0.51,0.42
01-01-1994,1.18,-1.17,0.01
01-01-1995,1.2,-1.3,-0.11
01-01-1996,0.53,-0.98,-0.45
01-01-1997,0.71,-2.39,-1.68
01-01-1998,0.79,-0.68,0.11
01-01-1999,0.91,-1.3,-0.4
01-01-2000,0.87,-0.92,-0.05
01-01-2001,0.8,-0.78,0.02
01-01-2002,0.63,-2.05,-1.42
01-01-2003,0.44,-1.83,-1.39
01-01-2004,0.46,-0.96,-0.49
01-01-2005,0.83,-1.32,-0.49
01-01-2006,0.5,-2.58,-2.08
01-01-2007,0.6,-1.32,-0.72
01-01-2008,0.93,-0.85,0.08
01-01-2009,0.8,-1.08,-0.28
01-01-2010,0.54,-1.6,-1.1
01-01-2011,0.65,-1.94,-1.29
01-01-2012,0.73,-0.84,-0.11
01-01-2013,0.6,-1.41,-0.81
01-01-2014,0.89,-2.06,-1.17
01-01-2015,0.77,-0.48,0.29
01-01-2016,0.76,-1.18,-0.42
01-01-2017,0.26,-0.97,-0.71
01-01-2018,0.39,-2.21,-1.82
01-01-2019,0.27,-1.96,-1.69
01-01-2020,0.71,-1.35,-0.64
01-01-2021,0.61,-2.15,-1.54
01-01-2022,0.5,-2.12,-1.62
