Station,Hansebreen,,
Latitude,61.75,,
Longitude,6,,
Elevation,1200,,
,,,
Time,Bw,Bs,Ba
01-01-1986,2.16,-2.86,-0.7
01-01-1987,3.5,-2.62,0.88
01-01-1988,2.48,-5.23,-2.75
01-01-1989,4.36,-3.4,0.96
01-01-1990,4.36,-3.87,0.49
01-01-1991,3.21,-2.73,0.48
01-01-1992,4.55,-3.31,1.25
01-01-1993,4.5,-3.02,1.48
01-01-1994,3.53,-2.6,0.94
01-01-1995,4.62,-3.53,1.09
01-01-1996,1.92,-3.16,-1.24
01-01-1997,3.86,-3.5,0.36
01-01-1998,3.17,-3.48,-0.32
01-01-1999,4.31,-4.16,0.14
01-01-2000,4.63,-3.79,0.84
01-01-2001,1.71,-4.46,-2.75
01-01-2002,3.54,-5.39,-1.85
01-01-2003,2.38,-4.99,-2.61
01-01-2004,2.96,-3.6,-0.64
01-01-2005,4.53,-4.62,-0.09
01-01-2006,2.41,-6.5,-4.08
01-01-2007,4.07,-3.17,0.9
01-01-2008,4.25,-3.8,0.46
01-01-2009,3.48,-4.39,-0.92
01-01-2010,2.1,-4.31,-2.22
01-01-2011,3.43,-4.68,-1.25
01-01-2012,3.61,-2.79,0.82
01-01-2013,2.84,-4.53,-1.69
01-01-2014,3.54,-5.65,-2.11
01-01-2015,4.05,-3.05,1
01-01-2016,3.8,-5.11,-1.31
01-01-2017,3.45,-4.64,-1.19
01-01-2018,2.63,-5.31,-2.68
01-01-2019,2.04,-5.03,-2.99
01-01-2020,4.64,-4.08,0.56
01-01-2021,2.93,-5.2,-2.27
01-01-2022,3.22,-4.22,-1
