Station,Hellstugubreen,,
Latitude,61.56,,
Longitude,8.44,,
Elevation,1850,,
,,,
Time,Bw,Bs,Ba
01-01-1962,1.18,-0.4,0.78
01-01-1963,0.93,-1.92,-0.99
01-01-1964,0.72,-0.81,-0.09
01-01-1965,1.3,-0.75,0.55
01-01-1966,0.96,-1.59,-0.63
01-01-1967,1.5,-0.9,0.6
01-01-1968,1.4,-1.47,-0.08
01-01-1969,0.96,-2.2,-1.24
01-01-1970,0.7,-1.67,-0.96
01-01-1971,1.12,-1.24,-0.11
01-01-1972,0.94,-1.42,-0.48
01-01-1973,1.2,-1.41,-0.21
01-01-1974,1.01,-0.73,0.29
01-01-1975,1.36,-1.69,-0.34
01-01-1976,1.15,-1.87,-0.72
01-01-1977,0.69,-1.37,-0.69
01-01-1978,1.06,-1.55,-0.48
01-01-1979,1.44,-1.43,0.01
01-01-1980,0.82,-2.01,-1.2
01-01-1981,1.06,-1.4,-0.34
01-01-1982,0.85,-1.22,-0.37
01-01-1983,1.47,-1.31,0.16
01-01-1984,1.22,-1.74,-0.52
01-01-1985,1.11,-1.42,-0.31
01-01-1986,0.78,-1.28,-0.51
01-01-1987,1.15,-0.71,0.44
01-01-1988,1.28,-2.33,-1.05
01-01-1989,1.66,-0.87,0.79
01-01-1990,1.83,-1.1,0.72
01-01-1991,0.98,-1.4,-0.42
01-01-1992,1.18,-0.99,0.18
01-01-1993,1.26,-0.92,0.34
01-01-1994,1.27,-1.15,0.12
01-01-1995,1.43,-1.5,-0.06
01-01-1996,0.66,-1.34,-0.68
01-01-1997,1.14,-2.72,-1.59
01-01-1998,1.01,-0.98,0.03
01-01-1999,1.24,-1.6,-0.36
01-01-2000,1.29,-1.09,0.19
01-01-2001,0.85,-1.21,-0.36
01-01-2002,0.96,-2.37,-1.41
01-01-2003,0.72,-2.15,-1.43
01-01-2004,0.66,-1.47,-0.82
01-01-2005,1.35,-1.61,-0.26
01-01-2006,0.73,-2.72,-1.99
01-01-2007,1.03,-1.68,-0.65
01-01-2008,1.42,-1.45,-0.03
01-01-2009,1.3,-1.53,-0.23
01-01-2010,0.75,-2.08,-1.34
01-01-2011,0.83,-2.87,-2.04
01-01-2012,1.21,-1.22,-0.02
01-01-2013,1.05,-1.83,-0.78
01-01-2014,1.11,-2.33,-1.22
01-01-2015,1.21,-0.74,0.49
01-01-2016,1.21,-1.54,-0.34
01-01-2017,0.73,-1.32,-0.59
01-01-2018,0.9,-2.53,-1.63
01-01-2019,0.6,-2.47,-1.87
01-01-2020,1.38,-1.82,-0.44
01-01-2021,1.1,-2.38,-1.28
01-01-2022,0.8,-1.74,-0.94
