Station,Nigardsbreen,,
Latitude,61.69,,
Longitude,7.2,,
Elevation,1136,,
,,,
Time,Bw,Bs,Ba
01-01-1962,2.11,0.17,2.27
01-01-1963,1.78,-1.96,-0.19
01-01-1964,1.96,-1.19,0.76
01-01-1965,1.93,-1.17,0.76
01-01-1966,1.74,-2.69,-0.95
01-01-1967,2.98,-1.18,1.8
01-01-1968,2.49,-2.41,0.08
01-01-1969,1.69,-3.14,-1.45
01-01-1970,1.66,-2.3,-0.63
01-01-1971,2.17,-1.31,0.85
01-01-1972,1.79,-2.02,-0.23
01-01-1973,2.47,-1.41,1.06
01-01-1974,1.93,-1.72,0.21
01-01-1975,2.43,-2.41,0.02
01-01-1976,2.87,-2.44,0.44
01-01-1977,1.49,-2.33,-0.84
01-01-1978,2,-2.24,-0.24
01-01-1979,2.43,-2.1,0.34
01-01-1980,1.76,-3.03,-1.28
01-01-1981,2.19,-1.98,0.21
01-01-1982,1.88,-2.3,-0.42
01-01-1983,2.94,-2.03,0.91
01-01-1984,2.49,-2.3,0.19
01-01-1985,1.6,-2.39,-0.79
01-01-1986,1.34,-1.96,-0.62
01-01-1987,2.47,-1.57,0.9
01-01-1988,2.08,-3.37,-1.3
01-01-1989,3.36,-0.94,2.42
01-01-1990,3.34,-2.22,1.12
01-01-1991,1.79,-2.03,-0.24
01-01-1992,2.66,-1.53,1.13
01-01-1993,2.52,-1.4,1.12
01-01-1994,2.01,-1.86,0.15
01-01-1995,2.85,-2.03,0.82
01-01-1996,1.25,-1.99,-0.74
01-01-1997,2.45,-2.98,-0.53
01-01-1998,2.29,-1.83,0.46
01-01-1999,2.21,-2.39,-0.18
01-01-2000,3.13,-1.86,1.27
01-01-2001,1.69,-2.08,-0.4
01-01-2002,2.24,-3.47,-1.23
01-01-2003,1.49,-3.01,-1.52
01-01-2004,1.83,-2.23,-0.4
01-01-2005,2.72,-1.83,0.89
01-01-2006,1.63,-3.36,-1.73
01-01-2007,2.86,-2.2,0.66
01-01-2008,2.82,-2.04,0.78
01-01-2009,2.04,-2.1,-0.06
01-01-2010,1.36,-2.46,-1.1
01-01-2011,1.73,-2.86,-1.13
01-01-2012,2.71,-1.73,0.98
01-01-2013,2.3,-2.96,-0.65
01-01-2014,2.54,-3.29,-0.75
01-01-2015,2.78,-1.48,1.3
01-01-2016,2.59,-2.51,0.08
01-01-2017,1.95,-1.72,0.23
01-01-2018,2.21,-3.41,-1.2
01-01-2019,1.86,-2.49,-0.62
01-01-2020,3.24,-1.99,1.25
01-01-2021,1.93,-2.49,-0.57
01-01-2022,2.57,-1.83,0.74
