Station,Rembesdalskaka,,
Latitude,60.54,,
Longitude,7.37,,
Elevation,1450,,
,,,
Time,Bw,Bs,Ba
01-01-1963,1.16,-2.58,-1.42
01-01-1964,1.37,-0.92,0.45
01-01-1965,1.88,-1.37,0.51
01-01-1966,1.35,-1.99,-0.64
01-01-1967,2.44,-1.27,1.17
01-01-1968,2.67,-2.17,0.5
01-01-1969,1.06,-3,-1.93
01-01-1970,1.28,-1.9,-0.62
01-01-1971,1.95,-1.27,0.68
01-01-1972,1.78,-1.83,-0.05
01-01-1973,2.62,-1.8,0.83
01-01-1974,1.91,-1.52,0.39
01-01-1975,2.25,-2.11,0.14
01-01-1976,2.45,-2.3,0.15
01-01-1977,1.18,-1.97,-0.79
01-01-1978,1.8,-2.1,-0.3
01-01-1979,2.4,-2.1,0.3
01-01-1980,1.45,-2.85,-1.4
01-01-1981,2.65,-1.8,0.85
01-01-1982,1.4,-2.1,-0.7
01-01-1983,3.75,-2.05,1.7
01-01-1984,2.05,-2.15,-0.1
01-01-1985,1.61,-1.96,-0.35
01-01-1986,1.48,-1.56,-0.08
01-01-1987,2.09,-1.13,0.94
01-01-1988,1.62,-3.1,-1.48
01-01-1989,3.49,-1.38,2.12
01-01-1990,3.66,-1.71,1.95
01-01-1991,1.52,-1.62,-0.1
01-01-1992,3.52,-1.69,1.83
01-01-1993,2.82,-0.9,1.92
01-01-1994,1.8,-1.62,0.18
01-01-1995,2.45,-2.13,0.32
01-01-1996,0.86,-2.37,-1.51
01-01-1997,2.74,-3.64,-0.9
01-01-1998,2.22,-1.97,0.25
01-01-1999,1.82,-2.2,-0.39
01-01-2000,2.64,-1.82,0.82
01-01-2001,1.03,-2.16,-1.13
01-01-2002,2.19,-3.33,-1.14
01-01-2003,1.18,-2.98,-1.8
01-01-2004,1.66,-2.02,-0.36
01-01-2005,2.54,-2.25,0.3
01-01-2006,0.8,-3.46,-2.66
01-01-2007,2.83,-2.1,0.73
01-01-2008,2.37,-2.34,0.04
01-01-2009,2.14,-2.43,-0.29
01-01-2010,1.14,-3.01,-1.87
01-01-2011,2.12,-3.4,-1.28
01-01-2012,2.65,-1.74,0.91
01-01-2013,1.61,-2.84,-1.23
01-01-2014,2.17,-3.46,-1.3
01-01-2015,3,-1.83,1.17
01-01-2016,2.24,-2.63,-0.39
01-01-2017,2.26,-1.62,0.64
01-01-2018,1.94,-3.22,-1.28
01-01-2019,1.75,-2.52,-0.77
01-01-2020,3.04,-2.41,0.64
01-01-2021,1.76,-3.29,-1.53
01-01-2022,2.33,-2.24,0.09
