Station,Storebreen,,
Latitude,61.57,,
Longitude,8.13,,
Elevation,1700,,
,,,
Time,Bw,Bs,Ba
01-01-1949,2.28,-2.08,0.2
01-01-1950,1.52,-1.81,-0.29
01-01-1951,1.13,-1.67,-0.54
01-01-1952,1.44,-1.13,0.31
01-01-1953,1.4,-2.25,-0.85
01-01-1954,1.21,-1.98,-0.77
01-01-1955,1.57,-2.06,-0.49
01-01-1956,1.31,-1.48,-0.17
01-01-1957,1.42,-1.37,0.05
01-01-1958,1.54,-1.62,-0.08
01-01-1959,1.07,-2.35,-1.28
01-01-1960,0.98,-2.07,-1.09
01-01-1961,1.1,-1.62,-0.52
01-01-1962,1.54,-0.82,0.72
01-01-1963,0.96,-2.14,-1.18
01-01-1964,1.16,-0.95,0.21
01-01-1965,1.54,-1.2,0.34
01-01-1966,1.25,-1.86,-0.61
01-01-1967,1.89,-1.17,0.72
01-01-1968,1.64,-1.59,0.05
01-01-1969,1.22,-2.64,-1.42
01-01-1970,0.97,-1.69,-0.72
01-01-1971,1.46,-1.28,0.18
01-01-1972,1.39,-1.7,-0.31
01-01-1973,1.48,-1.4,0.08
01-01-1974,1.26,-1.02,0.24
01-01-1975,1.55,-1.7,-0.15
01-01-1976,1.81,-1.9,-0.09
01-01-1977,0.94,-1.48,-0.54
01-01-1978,1.26,-1.7,-0.44
01-01-1979,1.55,-1.45,0.1
01-01-1980,0.99,-2.3,-1.31
01-01-1981,1.3,-1.4,-0.1
01-01-1982,1.28,-1.75,-0.47
01-01-1983,1.9,-1.7,0.2
01-01-1984,1.7,-2,-0.3
01-01-1985,1.2,-1.6,-0.4
01-01-1986,1.05,-1.37,-0.32
01-01-1987,1.55,-1.23,0.32
01-01-1988,1.45,-2.4,-0.95
01-01-1989,2.3,-1.1,1.2
01-01-1990,2.6,-1.34,1.25
01-01-1991,1.28,-1.35,-0.07
01-01-1992,1.62,-1.49,0.13
01-01-1993,1.82,-1.01,0.81
01-01-1994,1.53,-1.74,-0.21
01-01-1995,1.79,-1.89,-0.1
01-01-1996,0.83,-1.8,-0.97
01-01-1997,1.77,-2.74,-0.96
01-01-1998,1.55,-1.33,0.22
01-01-1999,1.67,-1.9,-0.24
01-01-2000,2.04,-1.49,0.55
01-01-2001,1.04,-1.32,-0.28
01-01-2002,1.09,-2.87,-1.79
01-01-2003,1.07,-2.78,-1.72
01-01-2004,0.97,-1.71,-0.74
01-01-2005,1.77,-2.04,-0.23
01-01-2006,0.81,-3.08,-2.27
01-01-2007,1.3,-1.81,-0.51
01-01-2008,1.9,-2.01,-0.1
01-01-2009,1.6,-1.83,-0.22
01-01-2010,0.79,-2.55,-1.76
01-01-2011,0.99,-2.57,-1.58
01-01-2012,1.68,-1.62,0.06
01-01-2013,1.31,-2.47,-1.16
01-01-2014,1.57,-2.74,-1.17
01-01-2015,1.52,-1.03,0.49
01-01-2016,1.1,-1.91,-0.8
01-01-2017,1.17,-1.69,-0.52
01-01-2018,1.27,-3.24,-1.97
01-01-2019,1.02,-2.54,-1.52
01-01-2020,1.93,-1.98,-0.05
01-01-2021,1.37,-3.04,-1.67
01-01-2022,1.35,-2.03,-0.68
